englishTitle;title;actionType;type;level;traits;traditions;castTime;muse;trigger;range;objectives;area;defense;duration;description;heightenings
BLESSED BOUNDARY;LÍMITE BENDITO;three-actions;CONJURO;6;CONCENTRAR FUERZA MANIPULAR SANTIFICADO;divina;;;;120 pies [36 m];; una explosión de hasta 60;pies (18 m) Reflejos; 1 minuto;"Aparecen centenares de manifestaciones de fuerza divina, girando en una enorme esfera protectora. Típicamente parecen fragmentos puntiagudos, pero a menudo adoptan una apariencia temáticamente vinculada al dios del lanzador. La esfera es hueca y las manifestaciones forman un caparazón de 2 pulgadas (5 cm) de profundidad en el borde exterior. Puedes elegir que la explosión sea más pequeña, en incrementos de 5 pies (1,5 m) cuando la lanzas.
El caparazón proporciona cobertura y puede cruzar terreno sólido sin afectarlo. Inflige 7d8 daño por fuerza a cualquier criatura con la que se cruza al crearse la esfera o que intenta atravesarla. La criatura también sufre el daño al final de su turno, pero sólo si no ha sufrido ya daño por parte del caparazón en dicho turno. Los efectos vienen determinados por una salvación de Reflejos de la criatura.
Éxito crítico La criatura no resulta afectada.
Éxito La criatura sufre mitad de daño.
Fallo La criatura sufre daño completo, es empujada hasta 10 pies (3 m) en una dirección que tú eliges y finaliza su movimiento.
Fallo crítico La criatura sufre doble daño, es empujada hasta 20 pies (6 m) en una dirección que tú eliges y finaliza su movimiento.";Potenciado (+1) El daño se incrementa en 1d8.
CLEANSE AFFLICTION;LIMPIAR AFLICCIÓN;two-actions;CONJURO;2;CONCENTRAR CURACIÓN MANIPULAR;divina, ocultista, primigenia;;;;toque; 1 criatura voluntaria.;;;;"Una suave magia restablecedora hace retroceder los efectos de las toxinas y de las enfermedades más complejas. Elige una aflicción activa sobre el objetivo, como por ejemplo una maldición, una enfermedad o un veneno. Si ha avanzado más allá de la etapa 1, reduce en 1 la etapa.
Esta reducción se puede aplicar sólo una vez a un caso determinado de una aflicción, y el caso se acaba cuando se cura. Aunque la reducción no se puede llevar a cabo de nuevo, versiones potenciadas del conjuro pueden contrarrestar cada lanzamiento.";"Potenciado (3.º) Contrarrestas (pág. 431) la aflicción si es una enfermedad o un veneno.
Potenciado (4.º) Contrarrestas la aflicción si es una maldición, enfermedad o veneno."
CLEANSE CUISINE;LIMPIAR COCINADOS;two-actions;CONJURO;1;CONCENTRAR MANIPULAR;divina, primigenia;;;;10 pies (3 m);; 1 pie cúbico (0,03 m³);;;Transformas toda la comida y bebida del área en deliciosa, cambiando el agua en vino u otra bebida de calidad o mejorando el sabor y los ingredientes de la comida para convertirla en digna de un gourmet. También puedes eliminar todas las toxinas y contaminaciones de la comida. Este conjuro no previene contaminaciones posteriores, descomposición natural o podredumbre, ni tampoco hace que la comida sea más nutritiva.;Potenciado (+2) Añade otro pie cúbico (1 pie cubico = 0,03 m 3) al área, que tiene que estar contiguo al resto.
FLOATING FLAME;LLAMA FLOTANTE;two-actions;CONJURO;2;CONCENTRAR FUEGO MANIPULAR;arcana, primigenia;;;;30 pies (9 m); 1 casilla de 5 pies (1,5 m);;Reflejos; mantenido hasta 1 minuto;"Creas un fuego que arde sin combustible y se mueve siguiendo tus órdenes. La llama inflige 3d6 daño por fuego a toda criatura que está en la casilla en que aparece, con una salvación básica de Reflejos.
Cuando Mantienes este conjuro, puedes hacer levitar la llama hasta 10 pies (3 m). A continuación inflige daño a cada criatura cuyo espacio ha compartido en cualquier punto de su vuelo. Esto utiliza los mismos salvación y daño, y sólo tiras éste cada vez que Mantienes. Una criatura dada sólo puede sufrir daño de llama flotante una vez por asalto.";Potenciado (+1) El daño se incrementa en 1d6.
DEATH'S CALL;LLAMADA DE LA MUERTE;reaction;FOCO;1;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO;;;;Una criatura viva a 20 pies (6 m) o menos de ti muere, o una criatura muerta viviente a 20 pies (6 m) o menos de ti queda destruida.;;;;;1 minuto;Ver cómo otro abandona este mundo te vigoriza. Obtienes tantos Puntos de Golpe temporales como el nivel de la criatura desencadenante, más tu modificador por atributo de lanzamiento de conjuros. Si la criatura desencadenante era un muerto viviente, dobla la cantidad de Puntos de Golpe temporales que obtienes. Estos puntos duran todo lo que dura el conjuro, y éste se acaba si todos los Puntos de Golpe temporales se gastan antes.;
DREAMER'S CALL;LLAMADA DEL SOÑADOR;two-actions;FOCO;4;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO ILUSIÓN INCAPACITACIÓN;;;;;30 pies (9 m); 1 criatura;;Voluntad; hasta el final del siguiente turno del objetivo;"MANIPULAR MENTAL
Creas una ensoñación vivida e ilusoria extraída de las imágenes de los sueños del objetivo. La ensoñación aparece en un espacio no ocupado dentro del alcance, y tú tratas de atraer hacia ella al objetivo.
Éxito crítico El objetivo no resulta afectado Éxito La atención del objetivo flaquea. Queda fascinado por la ensoñación.
Fallo El objetivo queda fascinado por la ensoñación y sigue un curso de acción elegido por ti como su primera acción después de Lanzar tú el conjuro: acercarse a la ensoñación, salir corriendo de ella (como en el estado huyendo), Soltar lo que tiene las manos como ofrenda o Tumbarse como homenaje.
Fallo crítico Igual que fallo, pero el objetivo sigue el curso de acción durante tantas acciones como le es posible mientras dura el conjuro, y no hace nada más.";
KNOCK;LLAMAR;two-actions;CONJURO;2;CONCENTRAR MANIPULAR;arcana, ocultista;;;;30 pies (9 m); 1 puerta, cerradura;;;o recipiente 1 minuto;Haces que el objetivo sea más fácil de abrir. Llamar concede un bonificador +4 por estatus a cualquier criatura que quiere abrir la puerta, cerradura o recipiente objetivo mediante una prueba de Atletismo o de Latrocinio. Puedes hacer una prueba de Latrocinio para abrir el objetivo como parte de lanzar este conjuro y sumas tu nivel incluso si no estás entrenado. Llamar contrarresta a cerrar.;
LOCATE;LOCALIZAR;;CONJURO;3;POCO-COMÚN CONCENTRAR DETECCIÓN MANIPULAR;arcana, divina, ocultista;10 minutos;;;500 pies (150 m); 1 objetivo específico;;;o tipo de objeto mantenido;"Averiguas la dirección hasta el objetivo (si has seleccionado un objeto específico, como por ejemplo ""la espada de mi madre"") o el objetivo más próximo (si has seleccionado un tipo de objeto, como por ejemplo ""espadas""). Si el objetivo es un objeto específico, tienes que haberlo observado directamente con tus propios sentidos. Si es un tipo de objeto, aun así has de tener una imagen mental precisa del tipo de objeto. Si hay plomo o agua corriente entre el objetivo y tú, este conjuro no puede localizarlo. Esto significa que podrías encontrar un tipo de objeto más lejos si el más cercano se encuentra detrás de plomo o agua corriente.";Potenciado (9.º) Los objetivos ignoran también el terreno difícil mayor debido a las propiedades medioambientales.
VITAL LUMINANCE;LUMINANCIA VITAL;one-action;FOCO;4;POCO-COMÚN AURA CLÉRIGO FOCO LUZ MANIPULAR VITALIDAD;;;;;;;;;1 minuto;"Atrayendo hacia ti fuerza vital, te conviertes en un faro de vitalidad.
Emites luz brillante en una emanación de 30 pies (9 m) y luz tenue hasta los siguientes 30 pies (9 m), y obtienes una reserva interna de luz llamada depósito de luminancia que empieza con un valor de 4. Al inicio de cada uno de tus turnos, incrementa a 4 tu depósito.
Si una criatura muerta viviente te daña con un ataque o conjuro mientras se encuentra dentro de la luz brillante de tu aura, sufre daño por vitalidad igual a la mitad del valor de luminancia de tu depósito. Tan sólo sufre dicho daño la primera vez que te daña en un asalto.
Puedes Disipar este conjuro. Cuando lo haces, puedes designar como objetivo a una criatura en el interior de tu luz y dirigir hacia ella la energía de vitalidad. El objetivo debe ser una criatura viva voluntaria o una criatura muerta viviente. Esto cura a un objetivo vivo o inflige daño por vitalidad a un objetivo muerto viviente en una cantidad igual al valor de luminancia de tu depósito.
Si Lanzas este conjuro de nuevo, cualquier lanzamiento previo se acaba.";Potenciado (+1) Tanto el valor inicial de tu depósito de luminancia como la cantidad en que se incrementa cada turno se incrementan en 1.
LIGHT;LUZ;two-actions;TRUCO;1;CONCENTRAR LUZ MANIPULAR TRUCO;arcana, divina, ocultista, primigenia;;;;120 pies (36 m);;;;hasta tus siguientes preparativos diarios;"Creas un orbe de luz que emite luz brillante en un radio de 20 pies (6 m) y luz tenue durante los siguientes 20 pies (6 m) de un color a elegir por ti. Si creas la luz en el mismo espacio que una criatura voluntaria, puedes fijar la luz a dicha criatura, haciendo que flote cerca de la misma conforme se mueve. Puedes Mantener el conjuro para mover la luz hasta 60 pies (18 m) hacia arriba; puedes fijarla a una criatura o soltarla de la misma como parte de ese movimiento.
Puedes Disipar el conjuro. Si lo lanzas mientras ya tienes 4 conjuros de luz activos, tienes que elegir uno de los 4 para que se acabe.";Potenciado (4.º) El orbe emite luz en un radio de 60 pies (18 m) y luz tenue en los siguientes 60 pies (18 m).
EVERLIGHT;LUZ ETERNA;three-actions;CONJURO;2;CONCENTRAR LUZ MANIPULAR;arcana, divina, ocultista, primigenia;;;;toque; una piedra preciosa por valor de;;;6 po o más ilimitada;La piedra preciosa que tocas brilla, extendiendo luz brillante con un color a tu elección en un radio de 20 pies (6 m) y luz tenue los siguientes 20 pies (6 m). El conjuro se acaba de inmediato si la piedra preciosa se rompe.;
REVEALING LIGHT;LUZ REVELADORA;two-actions;CONJURO;2;CONCENTRAR LUZ MANIPULAR;arcana, divina, ocultista, primigenia;;;;120 pies (36 m);; explosión de 10 pies (3 m);Reflejos; variable;"Una oleada de luz mágica baña el área. Tú eres quien elige la apariencia de esta, por ejemplo unas llamas coloridas exentas de calor o unas motas brillantes. Una criatura afectada por luz reveladora queda deslumbrada. Si la criatura era invisible, en su lugar queda oculta. Si la criatura ya estaba oculta por cualquier otro motivo, ya no está oculta.
Éxito crítico El objetivo no resulta afectado Éxito La luz afecta a la criatura durante 2 asaltos.
Fallo La luz afecta a la criatura durante 1 minuto.
Fallo crítico La luz afecta a la criatura durante 10 minutos.";
HOLY LIGHT;LUZ SAGRADA;two-actions;CONJURO;3;ATAQUE CONCENTRAR FUEGO LUZ MANIPULAR SAGRADO;divina, primigenia;;;;120 pies (36 m); 1 criatura;;CA;;"Haces brillar un abrasador rayo de luz teñido de energía sagrada. Haz un ataque de conjuro a distancia. El rayo inflige 5d6 daño por fuego. Si el objetivo tiene el rasgo sacrílego, infliges 5d6 daño adicional espiritual.
Éxito crítico El objetivo sufre doble daño.
Éxito El objetivo sufre daño completo.
Si la luz atraviesa un área de oscuridad mágica o designa como objetivo a una criatura afectada por oscuridad mágica, luz sagrada hace una prueba para contrarrestar la oscuridad. Si tienes que determinar si la luz atraviesa o no un área de oscuridad, traza una línea entre ti mismo y el objetivo del conjuro.";Potenciado (+1) El daño por fuego se incrementa en 2d6 y el daño espiritual contra las criaturas sacrílegas se incrementa en 2d6.
EVIL EYE;MAL DE OJO;one-action;TRUCO;1;POCO-COMÚN BRUJO MALDICIÓN MALEFICIO MANIPULAR TRUCO;;;;;Patrón El resentimiento 30 pies (9 m); 1 criatura;;Voluntad; mantenido hasta 1 minuto;El resentimiento de tu patrón se manifiesta en una mirada siniestra y envidiosa. El objetivo queda indispuesto 1 si falla una salvación de Voluntad (o indispuesto 2 con un fallo crítico). Dicho valor de estado no se puede reducir por debajo de 1 mientras el conjuro permanece activo y puedes ver al objetivo.;
ILL OMEN;MAL FARIO;two-actions;CONJURO;1;CONCENTRAR DESVENTURA MALDICIÓN MANIPULAR;ocultista;;;;30 pies (9 m); 1 criatura;;;1 asalto;"El objetivo se ve aquejado por la desventura, que le deja desequilibrado. El objetivo tiene que llevar a cabo una salvación de Voluntad.
Éxito El objetivo no resulta afectado.
Fallo La primera vez de la duración en que el objetivo haga una prueba de ataque o de habilidad, deberá tirar dos veces y utilizar el peor resultado.
Fallo crítico Cada vez que el objetivo haga una prueba de ataque o de habilidad, deberá tirar dos veces y utilizar el peor resultado, hasta que acabe el conjuro.";
CURSE OF DEATH;MALDICIÓN DE MUERTE;two-actions;FOCO;5;POCO-COMÚN BRUJO CONCENTRAR FOCO MALDICIÓN MALEFICIO MANIPULAR;;;;;Lección muerte 30 pies (9 m); 1 criatura;;Fortaleza; mantenido hasta 1 minuto;"MUERTE VACÍO
Tu patrón envuelve con la mano el corazón de tu objetivo, que tiene que hacer una salvación de Fortaleza. Sea cual sea el resultado, el objetivo queda temporalmente inmune a todas las maldiciones de muerte durante 1 día.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo queda afligido con la maldición de muerte en la etapa 1 y la etapa de la maldición no se puede incrementar más allá de la etapa 1.
Fallo El objetivo queda afligido con la maldición de muerte en la etapa 1 Fallo crítico El objetivo queda afligido con la maldición de muerte en la etapa 2.";"Maldición de muerte (maldición, muerte, vacío) Esta maldición se acaba cuando se acaba el conjuro; Etapa 1 4d6 daño por vacío y fatigado (1 asalto); Etapa 2 8d6 daño por vacío y fatigado (1 asalto); Etapa 3 12d6 daño por vacío y fatigado (1 asalto); Etapa 4 muerte Potenciado (+1) Incrementa en 1d6 el daño por vacío sufrido con un éxito y durante las primeras tres etapas de la maldición."
MARINER'S CURSE;MALDICIÓN DEL MARINERO;two-actions;CONJURO;5;CONCENTRAR MALDICIÓN MANIPULAR;arcana, ocultista, primigenia;;;;toque; 1 criatura;;Voluntad;;"Afliges al objetivo con la maldición del mar agitado e implacable. El objetivo tiene que llevar a cabo una salvación de Voluntad.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo queda indispuesto 1. Reducir a 0 su estado de indispuesto acaba con la maldición.
Fallo El objetivo queda indispuesto 1 y no puede reducir por debajo de 1 su estado mientras la maldición está activa. La maldición se puede eliminar mediante un limpiar aflicción de 4.º rango o magia similar. Si el objetivo está indispuesto y en el mar, a por lo menos una milla (1,6 km) de la costa, queda también lentificado 1.
Fallo crítico Como en fallo, pero el objetivo queda indispuesto 2.";
OUTCAST'S CURSE;MALDICIÓN DEL PARIA;two-actions;CONJURO;4;CONCENTRAR DESVENTURA MALDICIÓN MANIPULAR MENTAL;arcana, divina, ocultista;;;;toque; 1 criatura;;Voluntad;;"Afliges al objetivo con una maldición que hace que su presencia sea abrasiva y poco atractiva. El objetivo tiene que llevar a cabo una salvación de Voluntad.
Éxito crítico El objetivo no resulta afectado Éxito Durante 10 minutos, el objetivo debe tirar 2 veces y utilizar el peor de los resultados cuando hace una prueba de Engaño, Diplomacia, Intimidación o Interpretación, y las criaturas con las que se encuentra tienen una actitud inicial hacia él un paso peor (por ejemplo, malintencionado en lugar de indiferente).
Fallo Igual que éxito, pero el efecto es permanente.
Fallo crítico Como fallo, y las criaturas con las que se encuentra el objetivo tienen una actitud inicial hacia él dos pasos peor.";
